"name","weekday","income"
MichelDeFrance,monday   ,479584921
MichelDeFrance,saturday ,480574641
MichelDeFrance,sunday   ,438321489
MichelDeFrance,thursday ,481154817
MichelDeFrance,tuesday  ,467420387
MichelDeFrance,wednesday,439203901
MorningstarGreene,friday   ,62929145
MorningstarGreene,monday   ,67381291
MorningstarGreene,saturday ,64598715
MorningstarGreene,sunday   ,68473054
MorningstarGreene,thursday ,61407062
MorningstarGreene,tuesday  ,67737441
MorningstarGreene,wednesday,64838804
ReginaldBlotchet-Halls,friday   ,96796982
ReginaldBlotchet-Halls,monday   ,103178571
ReginaldBlotchet-Halls,saturday ,92451664
ReginaldBlotchet-Halls,sunday   ,80496473
ReginaldBlotchet-Halls,thursday ,89971578
ReginaldBlotchet-Halls,tuesday  ,89298154
ReginaldBlotchet-Halls,wednesday,80548671
SherylHunter,friday   ,158669557
SherylHunter,monday   ,153301531
SherylHunter,saturday ,143802265
SherylHunter,sunday   ,148514539
SherylHunter,thursday ,148434253
SherylHunter,tuesday  ,163754751
SherylHunter,wednesday,140290965
StearnsMacFeather,friday   ,28022436
StearnsMacFeather,monday   ,30778276
StearnsMacFeather,saturday ,27623848
StearnsMacFeather,sunday   ,27431435
StearnsMacFeather,thursday ,22585497
StearnsMacFeather,tuesday  ,31056506
StearnsMacFeather,wednesday,24953855
SylviaPanteley,friday   ,91390801
SylviaPanteley,monday   ,96399427
SylviaPanteley,saturday ,87097890
SylviaPanteley,sunday   ,95337213
SylviaPanteley,thursday ,91590683
SylviaPanteley,tuesday  ,99289901
SylviaPanteley,wednesday,85876351
